distance,measure
50,49.93
60,60.85
70,71.24
80,80.03
90,94.22
100,98.18
110,105.26
120,111.27
130,124.96
140,126.31
150,139.92
160,150.76
170,160.56
180,174.38
190,185.45
200,186.94
210,189.98
220,189.98
230,208.64
240,224.69
250,208.64
50,49.82
60,61.01
70,71.46
80,81.42
90,92.73
100,97.77
110,104.79
120,110.75
130,121.07
140,127
150,141.62
160,150.76
170,171.82
180,173.09
190,182.56
200,186.94
210,191.54
220,188.45
230,201.44
240,216.36
250,204.98
50,50.04
60,61.33
70,71.68
80,80.86
90,93.1
100,98.18
110,104.32
120,111.81
130,121.7
140,125.63
150,139.09
160,148.84
170,170.56
180,174.38
190,183.99
200,188.45
210,188.45
220,177.02
230,203.19
240,212.43
250,203.19
50,49.19
60,61.17
70,71.46
80,80.3
90,93.47
100,98.18
110,103.85
120,110.75
130,121.07
140,124.96
150,135.07
160,150.76
170,171.82
180,171.82
190,182.56
200,188.45
210,193.12
220,179.75
230,204.98
240,218.39
250,204.98
50,49.09
60,61.49
70,71.24
80,81.42
90,92.73
100,98.18
110,104.79
120,111.27
130,120.45
140,125.63
150,135.86
160,149.79
170,171.82
180,168.11
190,185.45
200,185.45
210,173.09
220,191.54
230,203.19
240,216.36
250,208.64
50,49.3
60,61.17
70,71.03
80,79.95
90,93.1
100,97.36
110,104.32
120,111.27
130,121.07
140,124.96
150,137.45
160,150.76
170,173.09
180,169.33
190,182.56
200,186.94
210,160.05
220,186.94
230,214.38
240,214.38
250,199.72
50,49.4
60,61.33
70,71.46
80,81.14
90,92.36
100,97.77
110,104.32
120,110.22
130,119.83
140,126.31
150,135.86
160,149.79
170,170.56
180,170.56
190,181.14
200,186.94
210,175.69
220,188.45
230,206.79
240,212.43
250,203.19
50,49.93
60,60.85
70,71.38
80,80.58
90,93.47
100,97.77
110,103.85
120,111.27
130,121.07
140,127
150,137.45
160,148.84
170,171.82
180,173.09
190,183.99
200,188.45
210,189.98
220,191.54
230,203.19
240,216.36
250,201.44
