distance,original,order_1,order_2,order_3,order_4,order_5
50,50.34,45.36,49.66,47.82,48.54,53.09
60,59.56,56.23,59.22,58.51,58.42,54.12
70,66.93,64.94,66.98,66.94,66.51,60.56
80,81.42,82.04,82.5,83.25,82.71,80.1
90,91.91,94.41,93.97,94.92,94.58,95.56
100,99.7,103.61,102.62,103.56,103.43,106.31
110,107.13,112.37,110.96,111.79,111.88,115.56
120,116.29,123.18,121.38,121.97,122.3,125.55
130,128.57,137.67,135.59,135.75,136.29,137.13
140,133.06,142.96,140.84,140.83,141.41,141.07
150,144.14,156.04,153.98,153.56,154.11,150.92
160,151.13,164.29,162.38,161.72,162.19,157.7
170,155.26,169.17,167.39,166.61,167.01,162.06
180,168.57,184.87,183.72,182.7,182.8,178.44
190,170.56,187.23,186.19,185.17,185.21,181.23
200,183.48,202.46,202.38,201.5,201.26,201.11
210,194.94,215.98,217,216.6,216.27,219.92
220,199.73,221.64,223.18,223.11,222.84,227.34
230,203.86,226.52,228.58,228.92,228.84,232.21
240,206.57,229.72,232.08,232.6,232.55,236.54
250,201.7,223.97,225.74,225.83,225.62,230.07
