x,y,z
0.55,-0.160606,0.106061
0.551515,-0.154545,0.106061
0.55303,-0.159091,0.104545
0.55303,-0.157576,0.10303
0.55303,-0.159091,0.10303
0.554545,-0.159091,0.101515
0.554545,-0.157576,0.1
0.554545,-0.157576,0.1
0.556061,-0.157576,0.101515
0.556061,-0.157576,0.1
0.556061,-0.156061,0.101515
0.554545,-0.157576,0.10303
0.556061,-0.154545,0.1
0.557576,-0.157576,0.098485
0.559091,-0.157576,0.098485
0.556061,-0.159091,0.098485
0.557576,-0.157576,0.09697
0.559091,-0.157576,0.095455
0.559091,-0.157576,0.095455
0.560606,-0.156061,0.092424
0.562121,-0.156061,0.090909
0.563636,-0.156061,0.087879
0.566667,-0.154545,0.086364
0.568182,-0.154545,0.081818
0.569697,-0.154545,0.080303
0.572727,-0.151515,0.077273
0.574242,-0.151515,0.074242
0.577273,-0.15,0.071212
0.578788,-0.15,0.069697
0.580303,-0.14697,0.069697
0.583333,-0.145455,0.068182
0.581818,-0.143939,0.069697
0.584848,-0.139394,0.072727
0.586364,-0.134848,0.074242
0.589394,-0.130303,0.078788
0.590909,-0.127273,0.081818
0.592424,-0.119697,0.086364
0.590909,-0.118182,0.089394
0.592424,-0.113636,0.095455
0.592424,-0.112121,0.09697
0.592424,-0.107576,0.101515
0.592424,-0.107576,0.10303
0.592424,-0.109091,0.104545
0.589394,-0.109091,0.107576
0.587879,-0.109091,0.109091
0.583333,-0.112121,0.113636
0.581818,-0.113636,0.118182
0.575758,-0.115152,0.124242
0.572727,-0.116667,0.128788
0.566667,-0.119697,0.136364
0.562121,-0.119697,0.142424
0.554545,-0.121212,0.151515
0.551515,-0.122727,0.156061
0.542424,-0.122727,0.166667
0.537879,-0.122727,0.172727
0.530303,-0.122727,0.181818
0.525758,-0.121212,0.187879
0.518182,-0.118182,0.198485
0.515152,-0.118182,0.20303
0.512121,-0.115152,0.209091
0.506061,-0.113636,0.216667
0.50303,-0.112121,0.221212
0.498485,-0.109091,0.228788
0.49697,-0.104545,0.231818
0.490909,-0.101515,0.239394
0.487879,-0.1,0.243939
0.484848,-0.098485,0.24697
0.481818,-0.09697,0.25
0.478788,-0.095455,0.25303
0.478788,-0.09697,0.254545
