x,y,z
-0.136364,0.901515,-0.315152
-0.137879,0.90303,-0.315152
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.316667
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.316667
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.315152
-0.136364,0.901515,-0.315152
-0.137879,0.901515,-0.315152
-0.136364,0.901515,-0.315152
-0.137879,0.901515,-0.316667
-0.137879,0.901515,-0.315152
-0.137879,0.901515,-0.315152
-0.143939,0.901515,-0.313636
-0.151515,0.90303,-0.312121
-0.162121,0.90303,-0.310606
-0.165152,0.877273,-0.287879
-0.151515,0.866667,-0.281818
-0.14697,0.866667,-0.281818
-0.145455,0.866667,-0.283333
-0.14697,0.866667,-0.283333
-0.15303,0.868182,-0.284848
-0.160606,0.868182,-0.281818
-0.180303,0.866667,-0.277273
-0.192424,0.866667,-0.274242
-0.212121,0.869697,-0.275758
-0.216667,0.871212,-0.275758
-0.216667,0.869697,-0.277273
-0.218182,0.871212,-0.275758
-0.216667,0.869697,-0.274242
-0.216667,0.872727,-0.275758
-0.218182,0.871212,-0.275758
-0.216667,0.872727,-0.275758
-0.215152,0.871212,-0.275758
-0.210606,0.869697,-0.275758
-0.212121,0.871212,-0.275758
-0.227273,0.875758,-0.280303
-0.237879,0.878788,-0.283333
-0.265152,0.886364,-0.290909
-0.278788,0.886364,-0.292424
-0.307576,0.887879,-0.3
-0.316667,0.886364,-0.304545
-0.336364,0.875758,-0.298485
-0.34697,0.862121,-0.292424
-0.369697,0.827273,-0.275758
-0.377273,0.80303,-0.265152
-0.384848,0.756061,-0.245455
-0.383333,0.725758,-0.236364
-0.362121,0.663636,-0.210606
-0.345455,0.624242,-0.201515
-0.310606,0.557576,-0.187879
-0.290909,0.527273,-0.184848
-0.251515,0.5,-0.180303
-0.236364,0.484848,-0.177273
-0.204545,0.451515,-0.178788
-0.192424,0.425758,-0.184848
-0.174242,0.377273,-0.201515
-0.157576,0.357576,-0.207576
-0.130303,0.312121,-0.228788
-0.118182,0.287879,-0.243939
-0.109091,0.243939,-0.281818
-0.110606,0.221212,-0.3
-0.134848,0.193939,-0.337879
-0.160606,0.187879,-0.354545
-0.213636,0.190909,-0.374242
-0.242424,0.201515,-0.377273
-0.298485,0.233333,-0.377273
-0.325758,0.25,-0.374242
-0.374242,0.29697,-0.368182
-0.4,0.322727,-0.366667
-0.442424,0.377273,-0.359091
-0.462121,0.407576,-0.356061
-0.49697,0.484848,-0.348485
-0.509091,0.528788,-0.343939
-0.524242,0.625758,-0.339394
-0.525758,0.680303,-0.345455
-0.524242,0.787879,-0.383333
-0.521212,0.836364,-0.415152
-0.515152,0.907576,-0.501515
-0.519697,0.921212,-0.55303
-0.536364,0.927273,-0.634848
-0.543939,0.921212,-0.668182
-0.571212,0.890909,-0.706061
-0.592424,0.863636,-0.704545
-0.633333,0.789394,-0.648485
-0.643939,0.742424,-0.6
-0.622727,0.633333,-0.478788
-0.590909,0.580303,-0.416667
-0.487879,0.478788,-0.310606
-0.428788,0.431818,-0.277273
-0.330303,0.340909,-0.263636
-0.29697,0.301515,-0.272727
-0.265152,0.245455,-0.312121
-0.272727,0.231818,-0.336364
-0.315152,0.227273,-0.383333
-0.345455,0.236364,-0.404545
-0.418182,0.284848,-0.436364
-0.462121,0.327273,-0.445455
-0.537879,0.439394,-0.443939
-0.560606,0.5,-0.434848
-0.569697,0.624242,-0.4
-0.559091,0.680303,-0.383333
-0.513636,0.780303,-0.362121
-0.483333,0.830303,-0.363636
-0.422727,0.915152,-0.4
-0.401515,0.94697,-0.436364
-0.384848,0.995455,-0.545455
-0.39697,1.0,-0.610606
-0.443939,0.975758,-0.739394
-0.463636,0.95,-0.792424
-0.493939,0.887879,-0.869697
-0.512121,0.85,-0.890909
-0.574242,0.766667,-0.866667
-0.610606,0.715151,-0.813636
-0.637879,0.586364,-0.662121
-0.613636,0.509091,-0.580303
-0.49697,0.359091,-0.45
-0.424242,0.29697,-0.418182
-0.292424,0.19697,-0.419697
-0.240909,0.159091,-0.443939
-0.183333,0.112121,-0.525758
-0.183333,0.106061,-0.574242
-0.225758,0.118182,-0.645455
-0.256061,0.131818,-0.665152
-0.313636,0.162121,-0.686364
-0.339394,0.180303,-0.693939
-0.407576,0.233333,-0.698485
-0.456061,0.274242,-0.693939
-0.542424,0.378788,-0.668182
-0.578788,0.436364,-0.651515
-0.627273,0.572727,-0.625758
-0.636364,0.639394,-0.618182
-0.628788,0.760606,-0.622727
-0.612121,0.812121,-0.640909
-0.571212,0.875758,-0.713636
-0.55,0.886364,-0.765152
-0.515152,0.851515,-0.874242
-0.515152,0.807576,-0.915152
-0.525758,0.710606,-0.948485
-0.531818,0.668182,-0.948485
-0.554545,0.580303,-0.910606
