fused,gyro,mag
-0.001354,-0.006449,0.030998
-0.004362,-0.006477,-0.15037
-0.002792,-0.006504,0.075504
-0.002143,-0.006532,0.030998
-0.000144,-0.005169,0.030998
0.002112,-0.003805,0.045834
0.001737,-0.003833,-0.015283
0.002591,-0.003861,0.045834
0.003429,-0.003889,0.045834
0.00425,-0.003917,0.045834
0.005195,-0.002553,-0.015283
0.007344,-0.00119,0.045834
0.00779,-0.001217,0.030998
0.009887,0.000146,0.045834
0.011942,0.00151,0.045834
0.011229,9e-05,0.045834
0.011894,6.3e-05,0.045834
0.00996,-0.001357,-0.015283
0.009287,-0.002776,0.045834
0.00999,-0.002804,0.045834
0.01068,-0.002831,0.045834
0.011356,-0.002859,0.045834
0.010796,-0.002887,-0.015283
0.011469,-0.002915,0.045834
0.006995,-0.002943,-0.210859
0.006381,-0.004362,0.045834
0.007143,-0.00439,0.045834
0.006229,-0.005809,0.030998
0.005476,-0.005837,-0.030077
0.005959,-0.005864,0.030998
0.006729,-0.005892,0.045834
0.007187,-0.00592,0.030998
0.00823,-0.005948,0.060669
0.008955,-0.005976,0.045834
0.008443,-0.006004,-0.015283
0.00946,-0.006031,0.060669
0.008797,-0.00745,0.045834
0.007992,-0.007478,-0.030077
0.008721,-0.007506,0.045834
0.009436,-0.007534,0.045834
0.010137,-0.007562,0.045834
0.007942,-0.008981,-0.030077
0.00745,-0.009009,-0.015283
0.005605,-0.010428,-0.015283
0.005456,-0.010456,-0.000489
0.002466,-0.009092,-0.210859
-0.000618,-0.00912,-0.15037
0.000283,-0.009148,0.045834
-0.00367,-0.009176,-0.19603
-0.000154,-0.010595,0.241669
-0.000625,-0.012014,0.045834
-0.00335,-0.012042,-0.135501
-0.002394,-0.01207,0.045834
-0.002679,-0.012097,-0.015283
-0.002958,-0.012125,-0.015283
-0.005933,-0.012153,-0.15037
-0.010213,-0.013572,-0.15037
-0.010342,-0.0136,-0.015283
-0.010468,-0.013628,-0.015283
-0.015866,-0.015047,-0.210859
-0.015882,-0.015075,-0.015283
-0.017235,-0.013711,-0.15037
-0.021289,-0.01513,-0.15037
-0.020128,-0.013767,-0.030077
-0.017473,-0.012404,0.045834
-0.015937,-0.012431,0.060669
-0.0185,-0.011068,-0.210859
-0.018463,-0.011096,-0.015283
-0.018426,-0.011124,-0.015283
-0.016872,-0.011151,0.060669
-0.015645,-0.011179,0.045834
-0.017028,-0.012598,-0.015283
-0.017162,-0.014017,0.045834
-0.015632,-0.014045,0.060669
-0.017016,-0.015464,-0.015283
-0.015787,-0.015492,0.045834
-0.018505,-0.01552,-0.15037
-0.017246,-0.015548,0.045834
-0.020233,-0.015576,-0.165253
-0.02514,-0.016995,-0.19603
-0.023748,-0.017023,0.045834
-0.022384,-0.017051,0.045834
-0.02618,-0.017078,-0.210859
-0.023404,-0.015715,0.045834
-0.02597,-0.015743,-0.15037
-0.025784,-0.015771,-0.015283
-0.024082,-0.015798,0.060669
-0.026635,-0.015826,-0.15037
-0.026577,-0.017245,0.045834
-0.024859,-0.017273,0.060669
-0.023472,-0.017301,0.045834
-0.023477,-0.01872,0.045834
-0.020755,-0.017357,0.045834
-0.023374,-0.017384,-0.15037
-0.02324,-0.017412,-0.015283
