pitch,xy_angle
-0.003716,-0.106881
0.000237,-0.106881
0.000237,0.146762
0.000237,-0.089377
0.000236,0.130229
0.000237,0.099153
0.000237,-0.106881
0.000237,0.130229
0.000237,-0.089377
-0.00373,-0.106881
0.000237,-0.12153
0.000238,-0.074602
-0.00373,0.146762
-0.003731,0.114628
0.000237,-0.074602
0.000237,0.114628
0.000237,-0.106881
-0.003701,-0.12153
-0.003715,0.146762
0.000236,0.162499
0.000237,0.131161
-0.003701,-0.089377
0.000237,-0.106881
0.000239,0.146762
-0.003715,-0.074602
0.000237,-0.089377
0.000238,0.146762
0.000238,-0.344089
0.000236,0.082484
0.000237,-0.089377
0.000237,-0.12153
0.000237,0.146762
0.000237,-0.139161
0.000237,0.099153
-0.00373,-0.089377
0.000236,-0.139161
0.000237,0.114628
0.000237,-0.139161
0.000238,0.082484
0.000235,-0.139161
-0.003716,0.130229
0.000236,0.130229
0.000237,-0.106881
0.000237,0.114628
0.000237,0.146762
0.000236,-0.153684
0.000237,0.146762
0.00419,-0.330285
0.000237,0.114628
0.000236,-0.106881
0.000236,-0.106881
0.000236,-0.12153
0.000237,-0.074602
0.000238,0.114628
0.000237,0.114628
0.000238,-0.139161
0.000236,-0.136062
0.000236,-0.139161
0.000237,0.130229
0.000237,-0.12153
0.000237,0.178352
0.000238,0.097968
0.000236,-0.089377
0.000237,-0.153684
0.004173,0.382813
0.000237,0.097968
0.000238,-0.106881
0.000237,0.145956
0.000238,-0.344089
0.000237,0.131161
0.000237,-0.106881
0.000237,0.082484
0.000236,0.146762
0.000237,-0.139161
0.000238,-0.12153
0.000237,0.130229
-0.003715,0.114628
0.000236,-0.12153
0.000237,-0.106881
0.000237,-0.136062
0.000238,-0.074602
0.000238,0.114628
0.000238,0.114628
0.000237,0.162499
0.000236,0.114628
-0.003629,0.114628
0.004157,0.114628
0.004141,0.350689
0.008079,0.367242
0.020077,0.822452
0.02376,0.854547
0.040218,1.109735
0.035376,1.090219
0.052191,1.077523
0.051374,1.5291
0.055297,1.5291
0.066542,1.742323
0.082398,2.266367
0.099129,2.501088
0.113106,2.943193
0.110464,3.377712
0.121683,3.639953
0.130439,3.671795
0.154985,4.138565
0.152581,4.371605
0.186564,5.496229
