roll,xy_angle
0.00087,-0.410567
-0.003097,-0.294563
-0.003097,0.216034
0.00087,-0.118051
0.00087,0.077149
-0.003085,0.248471
0.00087,-0.145064
0.000866,0.077272
0.000866,0.094744
0.00087,-0.161573
-0.003083,0.188147
0.000866,-0.134518
-0.003083,-0.056053
0.000867,-0.12777
0.00087,0.101929
0.000874,-0.144477
0.000867,-0.144962
0.00087,-0.171968
-0.003095,0.23912
-0.003085,0.248471
0.00087,0.091752
-0.003085,0.230323
-0.003071,-0.05634
-0.003085,0.197661
0.00087,0.128458
0.004841,-0.252155
0.000866,0.094744
0.000873,0.121074
0.000866,-0.185615
0.00087,0.084389
0.00087,-0.168341
0.00087,0.068099
0.00087,-0.111214
0.00087,-0.407651
0.004844,-0.275678
0.00087,-0.084207
0.00087,-0.161573
0.000866,0.110959
0.000867,-0.094323
0.00087,-0.151894
0.00087,0.128458
0.00087,-0.145064
0.00087,0.118083
0.00087,0.128458
0.000866,0.094744
0.000866,0.110959
0.000863,-0.127674
0.00087,0.101929
-0.003085,0.197661
0.004841,-0.265303
0.000867,0.084485
0.00087,-0.127866
0.00087,-0.145064
-0.003085,0.197661
0.00087,0.109354
0.000873,0.11212
0.000874,0.100447
0.004803,-0.245434
-0.003072,-0.032755
0.000867,0.118178
0.000874,-0.17901
-0.003083,0.221908
0.000873,0.128328
0.004841,-0.281279
0.000874,0.100447
0.00087,0.094621
0.00087,0.050696
0.00087,0.110836
0.004822,0.010705
0.00087,-0.161573
0.004822,-0.229861
0.000867,-0.358214
-0.003085,0.197661
0.00087,0.077149
-0.003071,-0.023521
0.00087,0.107837
0.00087,-0.145064
0.000866,0.060914
0.00087,0.100543
0.00087,0.101929
0.000866,0.074356
0.00087,-0.134641
0.000863,-0.144866
0.00087,0.077149
0.004822,-0.035037
0.000867,-0.144962
-0.003071,0.188932
0.000873,0.12537
0.004825,-0.240386
0.000866,0.077272
0.004805,-0.23984
0.00087,-0.151894
0.000863,0.364092
0.004803,-0.017469
0.004822,-0.035037
0.016621,-0.083265
0.008744,0.315195
0.004729,0.213289
0.01248,0.54081
0.020388,0.285559
0.03235,0.396706
0.036281,0.61211
0.061046,0.050423
0.055728,0.781191
0.063028,1.035555
0.08406,0.416316
0.086243,1.119873
0.098964,0.738298
0.153209,0.570753
0.146182,0.931879
0.151112,1.031347
0.164054,1.130392
0.180355,1.047562
0.185952,1.302109
0.199798,1.471894
0.214754,1.16692
0.223791,1.291625
0.234516,1.501346
0.231475,1.569484
0.260423,1.222661
0.269217,1.90389
0.267781,1.82384
0.289692,1.749624
0.29248,1.993366
0.289295,1.976201
0.292013,2.197165
0.320154,1.818731
0.326375,1.859316
0.330255,2.127456
0.350264,1.841046
0.365444,1.835882
0.367932,1.738955
0.361728,1.943922
0.375405,1.864808
0.380322,2.374647
0.384014,1.901595
0.385098,1.971919
0.38861,2.454731
0.392249,1.983155
0.384208,2.423852
0.387815,2.656939
0.40548,2.493035
0.420167,2.619366
0.444692,2.06149
0.441583,2.150084
0.460785,1.727999
0.445138,2.730849
0.473361,2.073894
0.478588,1.982328
0.478588,2.268998
0.484232,2.388362
0.489333,2.280657
0.492708,2.142455
0.48384,2.778824
0.483752,2.831826
0.501644,2.138637
0.517948,2.129642
0.510563,2.656338
0.515708,2.724859
0.522846,2.526667
0.526321,2.57204
0.526321,2.771235
