roll,xy_angle
0.006746,-0.166063
0.006746,-0.166063
-0.001186,0.088504
0.002767,-0.147742
0.002756,0.05636
0.006719,0.088504
0.002767,-0.133773
0.002767,0.024206
-0.001186,0.05636
-0.001181,-0.147742
0.002778,0.05636
0.002778,-0.147742
-0.001181,0.071135
0.002767,0.088504
-0.00119,0.135685
0.002767,-0.179895
0.002778,0.088504
-0.001186,0.103415
-0.001186,0.05636
0.002778,-0.161584
0.002767,-0.133773
-0.001195,0.088504
-0.001181,0.103415
-0.001186,-0.166063
-0.001181,0.071135
0.006719,0.073709
0.002778,-0.147742
0.006719,0.073709
-0.001186,-0.133773
0.002756,-0.166063
0.006719,0.088504
0.002767,0.103415
-0.001186,-0.147742
0.002767,0.088504
-0.001186,-0.133773
-0.00119,0.05636
0.002767,0.088504
0.002767,-0.147742
0.002767,0.088504
0.002767,-0.147742
0.006746,-0.133773
0.002756,0.05636
0.006719,0.103415
0.002767,-0.133773
0.002778,0.120657
-0.001181,0.103415
0.002767,0.103415
-0.001181,-0.147742
-0.001186,0.103415
-0.001181,0.05636
-0.001186,-0.101493
-0.001186,0.071135
-0.001186,0.05636
0.002767,0.088504
0.006719,0.088504
0.002767,-0.161584
0.002756,-0.133773
-0.00119,0.05636
0.002767,-0.147742
0.002767,0.088504
0.002756,-0.166063
-0.001181,0.059041
0.002767,-0.133773
-0.001181,-0.166063
-0.001181,0.041692
-0.001186,0.135685
0.006719,0.103415
0.006719,-0.115579
-0.001186,-0.152133
-0.001186,-0.133773
-0.001186,0.088504
-0.001186,0.340506
0.002767,0.260365
-0.00119,0.135685
0.002767,-0.119707
0.002767,0.071135
0.002767,0.088504
0.002778,0.071135
0.002767,0.088504
0.002767,0.088504
-0.001181,0.071135
0.002767,0.05636
0.002767,-0.133773
-0.00119,0.103415
-0.001186,0.05636
-0.001186,-0.115579
-0.001186,0.071135
0.002767,0.05636
0.002756,-0.115579
-0.00119,0.05636
-0.005118,0.088504
-0.00119,0.088504
0.006719,0.071135
0.010714,0.52855
0.022437,0.782106
0.010672,0.767506
-0.005138,0.986626
-0.001181,1.005218
0.010672,1.435997
0.022437,1.415598
0.030187,1.184549
0.010672,1.391381
0.018649,1.100125
0.022526,1.379122
0.026372,1.073197
0.030306,1.125332
0.030306,0.86928
0.030425,0.839953
0.050354,0.998788
0.053885,0.791655
0.054097,0.727542
0.069573,0.709338
0.085899,0.429146
0.090552,0.378235
0.093403,0.109797
0.096939,0.125757
0.109914,0.22282
0.121228,0.290041
0.132941,-0.296221
0.137376,0.199739
0.149085,0.145263
0.165278,-0.30237
0.173052,0.051328
0.185396,-0.008481
0.209385,-0.012202
0.200087,0.146652
0.214077,-0.074323
0.237023,-0.456707
0.234238,-0.214526
0.245744,0.098198
0.259199,-0.226358
0.266842,-0.000904
0.269599,-0.0048
0.280939,-0.088476
0.285355,-0.070855
0.292979,0.281726
0.297087,0.219877
0.310677,0.157386
0.315639,0.459716
0.334427,0.068571
0.340583,0.418791
0.344296,0.124436
0.347998,0.058031
0.356743,0.010578
0.371418,0.050609
0.377947,0.330102
0.402236,0.571952
0.421954,0.258422
0.430487,0.281065
0.43078,0.557789
0.441299,0.60804
0.450285,0.513017
0.459076,0.920424
0.478469,0.911944
0.488919,0.568319
0.499567,0.572914
0.501128,0.600279
0.506451,0.522595
0.518612,0.969956
0.534692,0.608817
0.532098,1.009026
0.546213,0.96236
0.545487,0.588262
0.550143,1.092198
0.561785,0.591079
0.566338,1.029727
0.570578,1.064134
0.57506,0.631742
0.588112,1.084767
0.589199,1.059306
0.596851,1.194963
0.603337,0.613305
0.606559,1.24637
0.627548,0.75208
0.633911,1.315543
0.642559,1.236617
0.652085,1.30511
0.659077,1.408536
0.662179,1.310327
0.675664,1.49298
0.681784,1.513885
0.698359,1.486462
0.70136,2.291776
0.709436,2.309232
0.712814,2.369741
0.731942,2.059736
0.748542,2.586452
0.751405,2.795721
0.759903,2.851285
0.765384,3.875311
0.770867,3.780347
0.790098,3.495686
0.795571,4.246543
0.801069,4.348541
0.814891,4.675253
0.814891,4.790219
0.825905,5.861708
0.83691,5.166774
0.842408,5.178897
0.83691,5.432317
0.836628,5.590219
