roll,xy_angle
-0.003558,0.162892
0.004365,-0.170886
0.000395,-0.18303
0.0083,0.017989
0.000395,0.039559
0.004348,0.07539
0.004331,0.055193
0.004348,0.05449
0.000395,0.11213
0.000397,0.027907
0.004348,0.022934
0.004365,0.054415
0.000395,-0.266304
-0.003543,0.097793
0.004365,0.042762
0.000394,-0.103896
0.000395,-0.036106
0.000395,-0.298788
0.000395,-0.220972
0.000395,0.059469
-0.003558,0.053055
0.000395,-0.003553
0.000395,0.008174
0.004348,0.055364
0.000394,-0.035826
0.000394,-0.202025
0.004348,0.07539
0.000397,-0.003608
0.000395,0.047905
0.000395,-0.170551
-0.003543,0.033104
0.000395,-0.266304
0.000395,0.079536
0.000395,0.061388
0.004331,0.054558
0.004348,-0.219544
0.000395,0.027961
0.000395,-0.202073
0.000394,-0.149514
0.004348,0.055364
-0.003558,-0.165729
0.000397,-0.221027
0.004331,-0.206786
0.000395,-0.103479
0.000395,0.027961
0.004348,-0.219544
-0.003543,-0.165695
0.000395,0.09194
0.000397,-0.214736
0.000395,-0.298788
0.004348,-0.219544
-0.003571,-0.131872
0.000395,-0.170551
0.000392,-0.233498
0.000394,0.028009
0.004331,-0.104879
0.004331,-0.206786
0.000394,-0.214633
0.000395,-0.168496
0.000394,0.028009
0.000395,0.176272
0.000394,-0.138115
0.000394,0.028009
-0.003558,0.03307
0.000395,-0.157069
0.000395,0.059469
0.000397,-0.118423
0.000395,-0.023217
0.000392,0.048008
0.000395,-0.18303
0.000397,-0.137712
0.000398,-0.151482
0.000394,-0.168687
0.000394,-0.202025
-0.003558,-0.112761
0.000394,-0.214633
-0.003558,-0.197216
0.000394,-0.170504
0.000395,-0.13793
0.000397,-0.137712
0.000397,-0.432298
-0.003543,-0.143647
-0.003558,-0.197216
0.000395,-0.054322
0.004331,-0.187784
-0.003543,-0.178092
0.000394,-0.24722
0.000394,-0.182982
0.000394,-0.47845
0.000394,-0.182982
-0.003543,-0.067552
0.004331,-0.238355
0.000394,-0.054739
0.004365,-0.154965
0.000395,-0.202073
0.004331,-0.136038
0.012252,-0.260792
0.008268,-0.141796
0.0083,-0.172539
0.008268,-0.205249
0.012252,-0.178283
0.012252,0.001884
0.016204,-0.21492
0.016077,0.068628
0.01614,-0.227058
0.012109,-0.11757
0.016014,-0.258374
0.020076,0.011432
0.027727,-0.110897
0.035532,-0.154398
0.051529,-0.000787
0.047602,0.013222
0.059613,-0.324804
0.07928,0.0446
0.083535,-0.10533
0.099276,0.041191
0.106708,0.047188
0.1203,-0.269548
0.123276,0.100744
0.140041,0.103455
0.138395,-0.148053
0.139488,0.329739
0.147908,0.098551
0.146172,0.03083
0.154535,0.195034
0.155143,0.179209
0.158422,0.018624
0.154535,0.427978
0.166182,0.219172
0.165535,0.455715
0.186217,0.379306
0.180936,0.11618
0.193932,0.387496
0.205459,0.039149
0.210106,-0.036721
0.217776,0.391717
0.226298,0.404783
0.233037,0.463707
0.233037,-0.145232
0.253913,0.464513
0.251959,0.242381
0.262499,0.239759
0.277602,0.401313
0.286206,0.171122
0.291081,0.31666
0.303494,0.507843
0.317138,0.304324
0.330886,0.685387
0.338351,0.5141
0.347117,0.372797
0.353165,0.686337
0.360512,0.544433
0.370647,1.002841
0.376516,0.479689
0.385226,0.723507
0.407334,0.605365
0.416174,0.746224
0.413437,0.684636
0.42536,0.777294
0.435794,0.843786
0.437919,0.884576
0.463998,0.817941
0.476365,0.732878
0.478055,0.703918
0.481537,1.02896
0.488463,1.284818
0.499065,1.197303
0.509734,1.003879
0.518512,0.943452
0.524778,1.212473
0.536043,1.335649
0.546833,0.90506
0.555597,1.087631
0.564348,1.183021
0.578518,1.0109
0.572133,1.267921
0.586167,1.183301
0.601398,1.00002
0.621026,1.100554
0.632854,0.993893
0.649308,1.050482
0.661009,1.013298
0.668921,1.300507
0.686032,1.330144
0.700034,1.284026
0.707644,1.467499
0.727584,1.309844
0.730496,1.445096
0.736275,1.323771
0.755388,1.49861
0.771978,1.429147
0.782933,1.353653
0.788428,1.510584
0.796721,1.519784
0.810318,0.995738
0.827191,1.798496
0.824104,1.516874
0.840547,1.877167
0.837952,1.922191
0.848584,1.915928
0.851492,2.175407
0.853666,2.14116
0.870841,2.467029
0.867432,2.28387
0.887221,2.564933
0.91414,2.563082
0.918919,2.625421
0.92832,2.844062
0.919807,3.023914
0.946242,2.830176
0.95934,2.954595
0.962523,3.308897
0.960294,3.145389
0.969124,3.473361
1.013267,2.826351
0.981944,3.629103
0.995935,3.364789
1.016536,3.770891
1.013228,3.752648
1.011992,3.964992
1.027931,3.915473
1.029247,4.146811
1.0446,4.167063
1.048484,4.594537
1.049914,4.734023
1.061995,4.615068
1.075985,5.199705
1.074416,4.904423
1.077827,5.068743
1.086318,5.052037
1.100392,4.637861
1.096945,4.856625
1.08862,4.986098
1.097118,4.74196
1.110743,4.448617
1.109038,4.956482
1.129685,4.582236
1.15431,4.601866
1.153903,4.77219
1.155459,5.069754
1.173176,5.358261
1.188993,5.198394
1.209009,5.531332
1.186166,5.427417
1.204879,4.962281
1.211256,5.399775
1.224791,5.025713
1.240624,5.355543
1.245515,5.271518
1.246741,5.70436
1.25283,5.135365
1.254032,6.104917
1.276113,5.194316
1.265034,5.6801
1.273544,5.401585
1.296273,5.178457
1.297891,5.428244
1.310045,5.980888
1.314742,5.785073
1.322181,5.404577
1.324975,5.278594
1.314742,5.765989
1.332377,5.541953
1.350128,5.089008
1.349284,5.381347
1.37272,5.10941
1.364376,5.099165
1.36894,5.413135
1.362194,5.374203
1.388598,5.598137
1.388598,5.731449
1.389985,5.852296
1.387897,5.543462
1.396859,5.95841
1.415859,5.601341
1.408245,5.817592
1.424056,6.16992
1.420252,6.267325
1.466565,5.351998
1.431677,6.060986
1.431677,6.511156
1.446968,6.254416
1.454636,6.475578
1.547188,6.904671
1.41909,7.5288
1.46762,9.307347
1.473863,8.242309
1.504254,8.085385
1.467361,7.146726
1.50553,8.005082
1.5553,7.989346
1.473107,9.324464
1.393361,10.170478
1.520857,8.402156
1.516816,8.206539
1.516816,8.741008
1.512968,8.641035
1.509122,8.430385
1.512968,8.628453
1.516816,8.590368
1.512968,8.628453
1.512968,8.628453
1.512745,8.771785
1.512968,8.628453
1.512745,8.598352
1.516816,8.149288
1.505025,8.694077
1.508884,9.166051
1.505278,8.246078
1.501436,8.55199
1.505278,8.639716
1.500899,7.680567
1.470399,8.223717
1.508402,7.370257
1.438807,7.911133
1.4508,7.921631
1.432738,7.523472
1.446968,7.141494
1.443629,7.217124
1.454186,6.067945
1.434972,7.499136
1.427314,7.178493
1.424056,7.148829
1.431141,7.058234
1.401299,6.890177
1.40508,7.258406
1.415859,6.846962
1.406988,6.537391
1.377248,6.372818
1.356656,6.239082
1.377248,5.830494
1.361397,6.172318
1.353048,5.676876
1.346384,5.317205
1.338033,5.811192
1.332482,5.701697
1.333392,4.725923
1.312784,5.444807
1.322181,4.713662
1.312784,4.66652
1.291001,4.610369
1.277233,4.748271
1.28203,4.353165
1.268718,4.504781
1.247945,4.126683
1.25769,4.050164
1.25283,4.033478
1.234433,3.968611
1.236978,4.065081
1.23571,3.686525
1.216225,3.64275
1.209891,3.746228
1.197636,3.301719
1.191864,3.55684
1.185396,3.520585
1.176751,3.426349
1.176751,2.827601
1.169611,2.922349
1.152731,1.027505
1.141778,1.800798
1.13153,0.965514
1.119406,0.301053
1.056685,0.24036
1.110774,-1.380301
1.069159,-1.115624
1.100392,-1.716783
1.065766,-1.183448
1.045139,-1.130166
1.019858,-0.570193
1.067632,-0.666806
1.027243,0.149088
1.023921,-0.037977
1.019858,0.197473
1.009934,0.268623
1.004574,0.52244
0.993817,-0.209886
0.993817,0.43558
0.976539,0.282126
0.96572,0.373466
0.962523,0.873238
0.954858,0.552028
0.946242,0.924649
0.946242,0.776823
0.938489,0.821376
0.921286,0.807375
0.898729,0.830686
0.893258,0.556358
0.887781,0.733199
